,country,description,points,price,province,title,variety,winery
114673,France,"Bright and crisp with an edge of tannins and plenty of red-currant fruitiness, this is an attractive wine. It is perfumed with a mineral edge and lively acidity. Drink now.",87,48.0,Champagne,Faniel et Fils NV Pérlane Rosé Brut  (Champagne),Champagne Blend,Faniel et Fils
114674,France,"A blend of 80% of the two red Pinot grapes and 20% Chardonnay, this is lightly tannic and structured. At the same time, the red-berry fruits shine through to produce a wine that is dry, crisp and attractively fruity. Ready to drink now.",87,52.0,Champagne,Forget-Brimont NV Brut Rosé Premier Cru  (Champagne),Champagne Blend,Forget-Brimont
114682,Italy,"Easygoing and fresh, this delightful sparkler has white flower and orchard-fruit aromas. The soft, enjoyable palate offers suggestions of apple and pear alongside a foaming mousse.",87,20.0,Veneto,La Tordera NV Brunei Brut Glera,Glera,La Tordera
114697,France,"This comes from a producer based in the Marne Valley, so it is not unusual to find a 100% Pinot Meunier wine. It gives great fruitiness, apples and crisp pears as well as bright, ready-to-drink acidity.",88,53.0,Champagne,Poissinet NV Constance Brut Pinot Meunier (Champagne),Pinot Meunier,Poissinet
114798,US,"Quite a delicious, rich and opulent wine. It shows Paso Robles softness and accessibility, with deep, long-lasting flavors of blackberries, currants, chocolate, olives and cedar. Fully ready now.",88,45.0,California,Jettlynn NV Opulent Red (Paso Robles),Red Blend,Jettlynn
114850,US,"This is a combination of 2003 Petite Sirah, as well as Syrah from both 2001 and 2004. Vineyards from Spring Mountain comprise a majority of the blend. The multi-vintage approach works well, for the wine has the softness and bouquet of an older wine, with the fresh, ripe fruit and acidity of a young one. Raspberries, cherries, blueberries, plums and sweet leather and Asian spices are the main flavors.",91,38.0,California,Fife NV 3&4 Max Cuvée Red (Napa Valley),Red Blend,Fife
114852,Australia,"Dark amber in color, with some greening evident at the rim, this Tokay features aromas of scorched coffee and Guinness stout-like flavors, but is also sweet, with hints of molasses and raisins. It's a solid effort, representative of its classification.",91,140.0,Victoria,Chambers Rosewood Vineyards NV Grand Muscadelle Tokay (Rutherglen),Tokay,Chambers Rosewood Vineyards
114861,Italy,"An emphasis on yellow fruit, pear and measured banana almost makes you think Bisol employs a different yeast selection on their Cartizze Cru. The wine is thick and creamy, with excellent opulence and just the right measure of sweetness.",90,41.0,Veneto,Bisol NV Cartizze  (Prosecco Superiore di Cartizze),Prosecco,Bisol
114866,Italy,"This is a lightweight, tonic wine with yeasty aromas surrounded by ripe peach, dried hay and warm, nutty tones. Dig deep to uncover accents of green apple, white stone, flowers and exotic fruit. It ends with fresh lemon flavors and bright acidity.",90,38.0,Lombardy,Bellavista NV Cuvèe Brut Sparkling (Franciacorta),Sparkling Blend,Bellavista
114958,US,"Sugary flavors of red-cherry jam and toasted, almost ashy oak mark this simple Merlot.",81,8.0,California,Turning Leaf NV Merlot (California),Merlot,Turning Leaf
114960,France,This lightly fruity wine hints at strawberry fruits laced with soft acidity. There is a bitterness in the background that is not pleasant.,81,14.0,France Other,Charles de Fère NV Réserve Rosé Dry Sparkling (Vin Mousseux),Sparkling Blend,Charles de Fère
114965,US,"Smells like pink bubblegum, tastes like sugary cherry pie filling. Even at this price, it's not a bargain.",81,8.0,California,Turning Leaf NV Pinot Noir (California),Pinot Noir,Turning Leaf
114970,US,"Made by a Nevada-based producer, this rosé from California-grown Grenache is very dark, exuding aromas of grenadine syrup and does follow through on the theme of sweet and viscous on the palate.",80,18.0,California,Loken Cellars NV Reserve Lot 14 Rosé (California),Rosé,Loken Cellars
114987,Spain,"Forget about Sherry styles, Matusalem operates in its own zone with its own rules. An intense, smoky nose shows charred barrel notes and prune aromas. A rich but snappy palate is not the least bit sticky, while deep flavors of chocolate, coffee, vanilla and molasses finish with grace.",94,50.0,Andalucia,González Byass NV Matusalem Vinum Optimum Rare Signatum Sherry (Jerez),Sherry,González Byass
114995,Spain,"Raisin and more raisin aromas come with touches of cinnamon, caramel and molasses. This feels viscous but not gooey, and thus it's just right as P. X. goes. Flavors of caramel, fig and raisin finish with elegance and bolstering acidity.",94,50.0,Andalucia,González Byass NV Noe Vinum Optimum Rare Signatum Pedro Ximénez (Jerez),Pedro Ximénez,González Byass
115000,Spain,"This tawny tinted Palo Cortado will make a Sherry fanatic smile. Aromas of hazelnut, almond liqueur and toffee introduce an oily, creamy palate cut by a beam of blazing acidity. Briny apricot, persimmon and caramel flavors offer a dusting of cocoa in front of a long, classy, nutty finish. This has everything and lacks nothing.",94,170.0,Andalucia,Bodegas Hidalgo NV Vinos Viejos de Hidalgo Palo Cortado Wellington 30 Years Old Sherry (Jerez),Sherry,Bodegas Hidalgo
115030,US,"This is fantastically rich in flavors of cherry pie, milk chocolate, buttered toast and spice. The texture is fairly light, falling somewhere between Merlot and Pinot Noir. Drink now.",87,47.0,California,Bella Victorian NV The Painted Lady Dornfelder (Sta. Rita Hills),Dornfelder,Bella Victorian
115078,US,"Reddish-orange in color, this nonvintage reserve sparkler combines 76% Pinot Noir and 24% Chardonnay expertly into exuberant flavors of raspberry and grenadine. Ripe, it's full of life and decadent, finishing in balance.",91,35.0,California,Chandon NV Reserve Pinot Noir Rosé Sparkling (Sonoma County),Sparkling Blend,Chandon
115104,Italy,"A sharp note of crushed white pepper gives this a bright, pungent bouquet. The aromas are softened by pretty notes of peach, dried herb and clove. This has loads of personality and depth.",88,20.0,Veneto,Montesel NV Vigna del Paradiso Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Montesel
115109,Italy,Sorelle Bronca is a benchmark winery that consistently delivers one of the most elegant and refined expressions of Prosecco available today. This opens with drying mineral notes and feminine touches of honey and white rose on the finish.,88,15.0,Veneto,Sorelle Bronca NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Sorelle Bronca
115169,US,"A blend of 80% Pinot Noir with 20% Chardonnay, this rosé sparkles in well-hewn acidity, a dry mix of white peach that's fruity and decadent in creamy waves of soft texture and yeasty bubbles. It finishes with length and breadth, an ideal match for the table.",91,24.0,California,Mumm Napa NV Brut Rosé Sparkling (Napa County),Sparkling Blend,Mumm Napa
115248,US,"Luscious black cherry and raspberry flavors distinguish this fruity, surprisingly forward Lemberger. Layers of concentrated fruit and soft, lush tannins get a hit of mouthwatering acidity on the midpalate. A wine to be enjoyed now.",88,15.0,New York,Seneca Shore NV Amulet DeMarco Vineyards Lemberger (Seneca Lake),Lemberger,Seneca Shore
115317,France,"Just as it says on the label, this is a nonvintage wine that has aged longer than usual in the Lanson cellars (in this case five years). That immediately gives it a toasty aroma and palate. The white stone fruit is still crisp although filled out and rounded with bottle age. Drink this impressive wine now.",94,105.0,Champagne,Lanson NV Extra Age Brut  (Champagne),Champagne Blend,Lanson
115397,France,"The nonvintage cuvée from Yann Alexandre is a deliciously fruity wine, given complexity by some yeastiness. The Champagne is dry, shot through with citrus and green fruits, steely acidity and a bright, crisp aftertaste.",88,90.0,Champagne,Yann Alexandre NV Sélection Brut  (Champagne),Champagne Blend,Yann Alexandre
115408,France,"Red fruit notes with touches of tannin dominate this wine. It is tight, with a bitter cherry flavor that suggests this bottling needs some age. There's a firm feel overall, suggesting this will work better with food than as an apéritif.",88,65.0,Champagne,Duval-Leroy NV Rosé Prestige Premier Cru Brut  (Champagne),Champagne Blend,Duval-Leroy
115456,Austria,"Glimpses of golden ripe mirabelle plum and the slightest hint of lovage create a lovely nose and continue to feature on the creamy, finely foaming palate. The body is wonderfully light, framed by foamy autolysis and pervaded by citrus peel freshness. A totally individual but refreshing Austrian fizz.",90,20.0,Österreichischer Sekt,Szigeti NV Brut Grüner Veltliner (Österreichischer Sekt),Grüner Veltliner,Szigeti
115457,Austria,"The nose hints at citric tartness but the palate turns out to be creamy with fine fizz and scented lemon-shortcake freshness. It offers glimpses of richness and cream but never losing its crisp edge. This is freshness framed by autolytic notes of bread crust and bakery, ideal apéritif material with a dry finish.",90,30.0,Österreichischer Sekt,Szigeti NV Cuvée Prestige Brut Sparkling (Österreichischer Sekt),Sparkling Blend,Szigeti
115460,France,"Crisp in sliced green-apple fruit, this Champagne is ripe, although on the dry side, giving plenty of acidity and a textured aftertaste. The bottling has some age, so it is deliciously ready to drink.",90,35.0,Champagne,Thiénot NV Brut  (Champagne),Champagne Blend,Thiénot
115461,France,"With zero grams of residual sugar, this is wine is as dry as it gets, relying on the ripe fruit to balance the intense acidity. Crisp apple and tight acidity dominate. Like many zero-dosage Champagnes it needs to age, so hold this bottle for two years.",90,49.0,Champagne,A.R. Lenoble  NV Dosage Zéro Brut Nature  (Champagne),Champagne Blend,A.R. Lenoble 
115472,France,"This nonvintage Brut epitomizes the fruit of Pinot Meunier and the more structured character of Pinot Noir and Chardonnay. It is balanced, full of white fruit and touches of apricot, with a lively line of acidity. Drink this bottling now.",90,50.0,Champagne,Besserat de Bellefon NV Cuvée des Moines Brut  (Champagne),Champagne Blend,Besserat de Bellefon
115593,France,"Pure Pinot Noir, an unusual style, gives a powerful rich character to a wine. This ripe, dense and full-bodied Champagne is full of apricot, pear and green plum flavors that are linked with the tight, lightly tannic texture. It is a well-balanced wine, ready to drink.",92,50.0,Champagne,Mailly Grand Cru NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,Mailly Grand Cru
115610,France,"Ruinart is a Chardonnay house, so this wine can be considered one of its signature cuvées. With some bottle age, it is crisp while also toasty with secondary flavors that are balancing the apple and citrus fruits. The wine is well balanced, the soft aftertaste still in keeping with its crisper, textured flavors.",92,75.0,Champagne,Ruinart NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Ruinart
115716,France,"This is in Pommery's relatively delicate style, a finely balanced, elegant Champagne. It has some lively acidity; the balance between this and the white fruits and touch of maturity works. Great non-vintage.",90,42.0,Champagne,Pommery NV Brut Royal  (Champagne),Champagne Blend,Pommery
115727,France,"Fully rounded, and crisply dry, this has a great foamy, creamy texture, filled out with red apple skins, pink grapefruit and an open aftertaste. Is the aftertaste just a touch sweet? Perhaps, but that seems to be part of the balance, and not out of place.",89,37.0,Champagne,Vranken NV La Demoiselle de Champagne Tête de Cuvée  (Champagne),Champagne Blend,Vranken
115732,France,"It's good that Pommery has given this wine some bottle age, despite the young image the label suggests. The result is dry, but with less fruit and more secondary toast and nut flavors, a finely textured wine. It also has some weight, which balances the acidity well.",89,50.0,Champagne,Pommery NV Pop Extra Dry  (Champagne),Champagne Blend,Pommery
115864,US,"A nonvintage blend, the Evolution is as clever as it gets. This 18th edition (the edition numbers serve a similar function to a vintage date) melds several different grapes into an aromatic, lushly detailed whole. Stone and tropical fruits abound, loading the palate with flavors of peaches, cream and lemon meringue. It's thoroughly delicious without a hint of wood.",91,15.0,America,Sokol Blosser NV Evolution White (America),White Blend,Sokol Blosser
115982,Italy,"This lively sparkler has played an important role in making Prosecco one of the most popular wines in the United States. Its a textbook rendition, with peach nectar, tangerine and a soft, creamy finish.",88,18.0,Veneto,Mionetto NV MO Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Mionetto
116007,US,"This sturdy red is a blend of four Bordeaux grapes, with a tannic, earthy structure. It has the sort of rugged power that you'd look for in a café wine, ready to take on a juicy burger and some fries.",85,15.0,Washington,Two Mountain NV Hidden Horse Red (Washington),Bordeaux-style Red Blend,Two Mountain
116085,US,"Despite the price, this wine is no bargain. It's soft, a little sweet and Porty, with a hot mouthfeel from high alcohol. Okay in a pinch with barbecue.",81,13.0,California,Fair Hare NV Zinfandel (North Coast),Zinfandel,Fair Hare
116091,US,"Soft, sweet and syrupy, a simple wine with sugared raspberry flavors. But it's clean and drinkable.",80,9.0,California,Kumbaya NV Red (California),Red Blend,Kumbaya
116092,US,"Just barely drinkable, with sweet and sour raspberry fruit sauce flavors.",80,13.0,California,Fair Hare NV Cabernet Sauvignon (North Coast),Cabernet Sauvignon,Fair Hare
116118,US,"The DSM sparklers all come in a fancy package, all are méthode champenoise, all finished with a wire cage and Champagne cork. This is quite yeasty, with a pretty toasted coconut flavor that spices up the fruit. Primarily Chardonnay, it has no perceptible residual sugar.",88,11.0,Washington,Domaine Ste. Michelle NV Blanc de Blancs Sparkling (Columbia Valley (WA)),Sparkling Blend,Domaine Ste. Michelle
116180,US,"Much the same blend as Rulo's Syrca (64% Cabernet Sauvignon, 36% Syrah), this is softer and a bit further along the path to maturity, as it is nonvintage. The berry fruit is annotated with sleek streaks of graphite, toast and tobacco. It's just a bit chalky, so pair it with a fatty, juicy steak.",90,25.0,Washington,Rulo NV WCF Red Cabernet Sauvignon-Syrah (Columbia Valley (WA)),Cabernet Sauvignon-Syrah,Rulo
116203,US,"Like the label says, this red is sweet. It's also full-bodied and fruity. The winery doesn't tell us what the grape mix is, but who cares. Drink and be happy.",84,10.0,California,Totally Random NV Sweet Red Wine Red (California),Red Blend,Totally Random
116216,Spain,"Tilts towards sweet on the nose, where maple, molasses, pecan and baked fruit aromas hold court. The palate is layered and lively, with a nice blend of pit fruits, toast, nuts and butter. Long and elegant on the finish, it's highly drinkable and enjoyable within the oloroso class.",90,20.0,Andalucia,González Byass NV Alfonso Oloroso Seco Palomino (Jerez),Palomino,González Byass
116220,Spain,"Starts out closed and dense, but with airing it hits its stride. The palate is full and chunky, with creamy, sweet flavors of honey, toffee and nuts. Shows fine texture and acidity, with toast, raisin, fig and date notes on the finish. While this may be a ""dry styled"" wine from Andalusia, it's more rich than dry.",90,29.0,Andalucia,Alvear NV Asuncion Oloroso - 500 ml Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear
116240,US,"A blend of Cabernet Sauvignon, Merlot, Syrah and Cabernet Franc, this nonvintage wine displays aromas of vanilla, green pepper, woodspice and herbs. The sweet chocolate and cherry flavors are accented by light meaty notes.",85,20.0,Washington,Jacob Williams NV Sadie Red (Columbia Valley (WA)),Red Blend,Jacob Williams
116355,US,"Pungent on the nose with aromas of dried herbs and and sweet spices, there's an exotic character to this full-bodied, semidry Riesling. Flavors of dried pineapple, honey and oolong tea on the midpalate end sharply in steely acidity on the finish.",85,12.0,New York,Seneca Shore NV Amulet DeMarco Vineyards Semi-Dry Riesling (Seneca Lake),Riesling,Seneca Shore
116403,France,"Ripe and full, this comes from a producer based just south of the Côtes de Blancs. Yellow fruits are cut with citrus to give a rich, while refreshing wine. Smooth with an orange-zest texture, it is ready to drink.",88,55.0,Champagne,Forget-Brimont NV Blanc de Blancs Premier Cru Brut Chardonnay (Champagne),Chardonnay,Forget-Brimont
116435,France,"A pink sparkling wine made from Malbec, this shows signs of structure that overlay the red fruit, acidity, and some notes of toast and yeast. It all adds up to an attractive, fruity wine.",87,15.0,France Other,Jean-Luc Baldès NV Bul's Rosé Malbec (Vin Mousseux),Malbec,Jean-Luc Baldès
116486,US,"This has a bright salmon color, vivid apple and ripe peach aromas and a soft, mouthfilling texture. Rich, slightly sweet flavors blend savory, almost salty accents with fruit on the way to a soft finish.",88,30.0,California,Dennen NV Charismatic Fool Sparkling Rosé Sparkling (North Coast),Sparkling Blend,Dennen
116797,Portugal,"An impressively mature 20-year old tawny, showing great layers of wood acidity, dark figs and well-integrated spirit. In the house style, it is not a big wine, more perfumed and delicate, and elegant.",91,58.0,Port,Poças NV 20 Years Old Tawny  (Port),Port,Poças
116805,Greece,"This semi-dry rosé offers strawberry, rhubarb and a touch of medicinal spice on the nose, followed by strawberry and sweet cherry on the palate. A hint of spice livens things.",84,11.0,Macedonia,Vaeni NV Makedonikos Rosé Semi-Dry Wine Rosé (Macedonia),Rosé,Vaeni
116810,Italy,"Cortegaia is a thin, ruby-colored red wine with easy aromas of small berry and white cherry. The mouthfeel is compact and watery but its also refreshingly crisp. You could drink it chilled with appetizers.",84,10.0,Piedmont,La Scolca NV Cortegaia Red (Piedmont),Red Blend,La Scolca
116859,France,"A finely structured, balanced Champagne, its citric and green plum fruit flavors fitting well within some full acidity. Everything is fresh but integrated, with an elegant, rich and refreshing finish.",89,49.0,Champagne,Thiénot NV Brut  (Champagne),Champagne Blend,Thiénot
116863,France,"A wine that pays tribute to the 19th century founder of Canard-Duchêne, this is ripe, rich, very accessible. There are touches of toast and almonds to go with the citrus and green apple flavors. There's some softness from the dosage, but it is well integrated.",89,40.0,Champagne,Canard-Duchêne NV Cuvée Léonie Brut  (Champagne),Champagne Blend,Canard-Duchêne
116865,Greece,"A lovely golden color invites with this rich dessert wine from Samos. Lemon, honey, spice and flower aromas lead into smooth, balanced flavors of cinnamon, orange and honey, finishing off with a spicy spin. Acidity keeps the wine from being too heavy. A delicious solo sip, but pair with cheeses and desserts for added appeal.",89,17.0,Samos,Creta Olympias NV Muscat (Samos),Muscat,Creta Olympias
116873,France,"While it is certainly on the sweet side, this bottling, with its lively mousse and strawberry flavors, is a definite step up from previous tastings. It has weight but also freshness.",88,55.0,Champagne,Vranken NV Demoiselle Rosé Brut  (Champagne),Champagne Blend,Vranken
116934,US,"Pretty floral and white grapefruit notes on the palate scream Gewürz, but fresh apple flavors layered in smoke and a chalky, crushed stone minerality make this unusual New Mexico bottling an interesting treat.",84,12.0,New Mexico,St. Clair NV Gewürztraminer (New Mexico),Gewürztraminer,St. Clair
117026,Spain,"Strained from front to back. The nose smells pickled and funky, while the palate is boring in feel and tastes candied but also a lot like brine or caper juice. Sweet on the finish.",80,10.0,Spain Other,Torito Bravo NV Sweet Chardonnay-Moscato White (Spain),White Blend,Torito Bravo
117082,US,"A complex and complete wine with everything in place, this tastes delicious from the first whiff to the lingering finish. It has fresh-baked bread and light peach aromas and white-cherry flavors. Well balanced, it's layered on a subtle level and harmonious.",93,29.0,California,Roederer Estate NV Brut Rosé Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
117163,Italy,"Here is a sweet and fragrant dessert wine with aromas of white flower, honey and stone fruit accented by a slightly drying mineral characteristic. Firm, tonic effervescence keeps the palate refreshed even when paired with whipped cream or creamy fruit desserts.",85,10.0,Piedmont,Gancia NV Grand Reale White (Piedmont),White Blend,Gancia
117176,France,"Bailly is believed to be the home village of Crémant de Bourgogne. With its north Burgundy situation, close to Champagne, it is able to produce cool wines like this. The acidity and the white fruits are lively and bright, with a soft textured and balanced acidity. Drink now.",88,23.0,Burgundy,Bailly-Lapierre NV Réserve Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre
117232,US,"Scents of leather, smoke and mint give this Bordeaux-style red blend a savory intrigue. It has an open and finessed texture, but the acidity jumps high toward the finish, making the wine border on feeling shrill. Try pairing it with seared lamb chops with tapenade to help tame the acidity.",83,26.0,Virginia,Veramar NV Rooster Red (Virginia),Red Blend,Veramar
117236,US,"For the price, this is a good, sound Sauvignon Blanc for everyday purposes. It's dry and crisp in acidity, with somewhat watery lemon, lime, grapefruit and vanilla flavors.",83,7.0,California,Barefoot NV Sauvignon Blanc (California),Sauvignon Blanc,Barefoot
117252,US,"Soft, sweet and simple, with peach, tropical fruit and buttered toast flavors, this Chard will satisfy basic fans of the variety looking for a bargain.",82,7.0,California,Barefoot NV Chardonnay (California),Chardonnay,Barefoot
117253,US,"This Pinot Grigio is okay for common purposes, but it's a pretty dull wine. It's on the border between dry and off-dry, and soft in texture, with sugary citrus fruit and herb flavors.",82,7.0,California,Barefoot NV Pinot Grigio (California),Pinot Grigio,Barefoot
117257,US,This soft blend seems made to appeal to the current taste for sweet reds. It has flavors of cola and hard cherry candy.,82,13.0,California,Posh NV Red (California),Red Blend,Posh
117292,Portugal,"Yeasty aromas are a surprise, the wine not showing freshness. The spirit is unbalanced with the red fruits, reflecting a wine that is split in its personality.",83,18.0,Port,Quevedo NV Pink  (Port),Port,Quevedo
117316,Argentina,"Dusty, yeasty aromas are faint. This feels flat on the palate, with a mix of weedy citrus flavors. Green, herbal notes carry the finish. Tasted twice.",80,19.0,Mendoza Province,Cruzat NV Clásico Brut  (Mendoza),Champagne Blend,Cruzat
117364,US,"A fizzy blend of six white grapes, this quaffable, tart bubbly tastes principally of grapefruit and a touch of spice. It's a solid choice alongside almost any salty appetizer.",87,20.0,America,Sokol Blosser NV Evolution Brut Sparkling (America),Sparkling Blend,Sokol Blosser
117375,Portugal,"This off-dry sparkling wine has ripe cherry fruits as well as a touch of tannin for texture. It is crisp, clean, delicately fruity, and ready to drink at any time.",86,12.0,Vinho Verde,Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda
117453,Italy,"This wine's heady crushed grape and wild red berry aromas segue to its dry, slightly tannic palate along, with ripe blackberry and blueberry notes and savory herbal hints. It's frothy, vibrant and balanced, with firm acidity and a pleasantly bitter note on the finish.",91,23.0,Central Italy,Fattoria Moretto NV Monovitigno  (Lambrusco Grasparossa di Castelvetro),Lambrusco Grasparossa,Fattoria Moretto
117512,Portugal,"In this 20-year-old tawny, you find a marvelous balance between fruit and extreme concentration. Burnt wood-aged flavors and acidity play with raisins and black figs give a sweet wine with a hint of dryness. Ready to drink.",91,60.0,Port,Wiese & Krohn NV 20 Anos Tawny  (Port),Port,Wiese & Krohn
117524,Spain,"Tan in color and elegant beyond what's normal, this high-end fino shows full, complex aromas of honey, citrus, rancio, dried gouda cheese and nuttiness. It feels both easy and fresh, with dry, intense flavors of citrus and almond. Long and smooth on the finish, with zero burn or bite.",90,40.0,Andalucia,Hidalgo NV La Panesa Especial Fino Sherry (Jerez),Sherry,Hidalgo
117563,US,"This dry red wine offers bold black cherry and blackberry aromas. Similar fresh fruit flavors and subtle accents of baking spices come out with the second sip and linger on the finish. A good, gripping texture of moderate tannins and acidity helps to make it really appetizing.",88,20.0,California,Philo Ridge NV Vino Di Mendocino IV Red (Mendocino),Red Blend,Philo Ridge
117893,France,"Perfumed while also bone-dry, this is a lively, ripe wine. Tight acidity is balanced by warmer red apple and peach flavors. The aftertaste is fresh, mineral and crisp.",86,19.0,Loire Valley,Domaine du Petit Coteau NV Brut  (Vouvray),Chenin Blanc,Domaine du Petit Coteau
117969,France,"Green and yellow apple notes play on the nose. They also fizz frothily on the fresh easy palate—almost weightless and totally dry. There are slightly bitter edges to the dry finish which are not unpleasant. With its litheness, this comes across as very refreshing and wonderfully pure.",90,24.0,Alsace,Meyer-Fonné NV Brut Extra Sparkling (Crémant d'Alsace),Sparkling Blend,Meyer-Fonné
117972,France,"This is a well-balanced, ripe wine in the producer's rich house style. A brighter, more mineral crispness and acidity also come through strongly in this bottling. The aftertaste brings together a mineral texture and full yellow and apple fruits. Drink now.",90,50.0,Champagne,Pol Roger NV Réserve Brut  (Champagne),Champagne Blend,Pol Roger
117978,France,"A rich Champagne produced from Montagne de Reims Pinot Noir vineyards, this is full and textured, hinting at red currants as well as tight citrus acidity. It is full of fruitiness, a ripe wine that is very drinkable now.",90,50.0,Champagne,Lombard et Cie NV Extra Brut Premier Cru Blanc de Noirs Pinot Noir (Champagne),Pinot Noir,Lombard et Cie
117990,US,"Bracingly effervescent bubbles offer aromas of baking soda, chalk and blood orange on this South Coast sparkler made from 82% Chardonnay and 18% Pinot Noir. The foamy palate offers inviting bubblegum and light cotton candy flavors, never sweet but very rounded and approachable in a crowd-pleasing way.",89,19.0,California,South Coast NV Brut Sparkling (Temecula Valley),Sparkling Blend,South Coast
117992,Australia,"A terrific value in sparkling wine, this slightly copper-tinged bubbly features classy aromas of dried thyme, citrus and apple. On the light-bodied palate, there's a hint of creaminess and the merest suggestion of strawberry, although apple and citrus dominate. A great option for summer entertaining.",89,13.0,Australia Other,Taltarni NV T Series Chardonnay-Pinot Noir-Pinot Meunier Sparkling (Australia),Sparkling Blend,Taltarni
118019,France,"Pommery's style is soft and creamy, the richness coming from the dosage. But the wine is also elegant, everything in place, with a light, floating layer of Bartlett pears and light acidity. The soft finish could be fresher.",86,40.0,Champagne,Pommery NV Brut Royal  (Champagne),Champagne Blend,Pommery
118120,Germany,"Deeply savory tones of bramble and earth are juxtaposed against fresh tangerine and lemon in this light-footed, semidry Riesling. It's not a deeply complex wine but sprightly and crisp, with a clean, slightly honeyed finish. Drink now.",88,10.0,Landwein Rhein,HXM NV Riesling (Landwein Rhein),Riesling,HXM
118137,Australia,"Call me traditional, but 100% American oak (roughly one-third new) doesn't quite harmonize with sparkling Shiraz, at least in this instance. It's given a sappy, resiny, almost hoppy character that lingers on the palate, marrying uneasily with the black cherry fruit.",83,28.0,South Australia,Mollydooker NV Miss Molly Sparkling (McLaren Vale),Sparkling Blend,Mollydooker
118145,US,"On the nose, this wine offers muted banana, lychee and pineapple. Flavors are tropical and overripe, coating the mouth with plump papaya, passion fruit and guava. It's a little heavy, needing a bit more acidic lift.",83,24.0,Virginia,Veramar NV Riesling-Vidal Blanc White (Virginia),White Blend,Veramar
118158,US,"This rosés aromas are funky and pungent, with a prevalent roast-beef note. A muted black cherry flavor is overpowered by iron ore. The finish is flat, begging for a bit more verve.",82,23.0,Virginia,Veramar NV Rosé (Virginia),Rosé,Veramar
118192,Italy,"Scents of orange blossom, tropical fruit and ripe apple emerge on this lively sparkler. Made with 100% Falanghina, the firm palate delivers nectarine zest, pineapple, green apple and a mineral vein alongside bright acidity and a vibrant, creamy mousse.",88,39.0,Italy Other,Feudi di San Gregorio NV Brut Metodo Classico Falanghina (Vino Spumante),Falanghina,Feudi di San Gregorio
118200,Italy,"This sparkler boasts pretty aromas of white spring flowers, peach and a whiff of Alpine herbs. On the palate, green apple and yellow pear abound while citrus zest and a hint of sage provide back up.",88,19.0,Veneto,Ambo Secco NV Brut  (Valdobbiadene Prosecco Superiore),Sparkling Blend,Ambo Secco
118207,France,"Named after the King of France crowned in 1429 by Joan of Arc in Reims cathedral, this is the counterpart of the Blanc de Blancs. It's a rich wine, soft with ripe quince and yellow plum fruits. Acidity balances with the rounded, fruity aftertaste.",88,60.0,Champagne,Canard-Duchêne NV Charles VII La Grande Cuvée Blanc de Noirs Brut  (Champagne),Champagne Blend,Canard-Duchêne
118209,France,"From the cooperative in Ville sur Arce, this attractive, immediately drinkable wine is light and fresh with citrus and green apple fruits. A refreshing line of bright acidity cuts right through and gives a crisp aftertaste.",88,45.0,Champagne,Chassenay d'Arce NV Cuvée Première Brut  (Champagne),Champagne Blend,Chassenay d'Arce
118213,Italy,Scents of green apple and sage float from the glass and carry over to the frothy palate of white peach. Vibrant acidity offsets the rich fruit flavors while a note of candied citrus backs up the finish.,88,20.0,Veneto,Ruggeri & C. NV Giall'Oro Extra Dry  (Valdobbiadene Prosecco Superiore),Glera,Ruggeri & C.
118218,Italy,"Delicate but enticing scents of white spring flowers and orchard fruit float out of the glass. The bright, creamy palate offers white peach, green apple and a hint of pastry cream alongside bright acidity and a frothy mousse.",88,18.0,Veneto,Astoria NV Extra Dry  (Valdobbiadene Prosecco Superiore),Glera,Astoria
118370,Spain,"A mellow, neutral nose doesn't push the envelope. In the mouth, this is round but punchy, with some excess weight. Flavors of apple juice, pear and melon finish with flavors of lime, apple cider and powdered sugar.",84,10.0,Spain Other,Tarantas NV Sparkling (Spain),Sparkling Blend,Tarantas
118381,US,"This smells a bit cheesy and leesy, with notes of popcorn and baguette that dominate the nose. On the medium-bodied palate, fresh acidity gives lift to the hints of lemon and unbuttered popcorn.",83,18.0,Virginia,Bogati NV Black Label Club Nina Blanco White (Virginia),White Blend,Bogati
118515,US,"This is a blend of Syrah, Grenache and Mourvèdre. It's a bit soft in structure, but nice and dry, and the blackberry, leather, pepper and cedar flavors are elaborate. Drink now.",87,20.0,California,Westside Red NV Troublemaker Blend 1 Red (Paso Robles),Rhône-style Red Blend,Westside Red
118559,US,"Rides the Moscato wave with a sweet honeyed richness, carrying tangerine, apricot and lemon fruit. Fine acidity gives it a brisk, clean finish.",85,7.0,California,Barefoot NV Deliciously Sweet Moscato (California),Moscato,Barefoot
